V1_0,beta1,beta2,beta3,gamma12,gamma21,gamma23,gamma32
2.0113240463927577,-4.811242677802055,-5.112926602950952,-6.4524094957644165,-0.18400981566008054,-5.082456387893795,-0.34918585189972967,-1.9188376269095837
2.0646382706008777,-4.841436431492247,-4.7133097342482255,-6.540237826534544,-0.3177172575132276,-5.239607155338254,-0.005994058399328454,-3.090695892244793
2.0180511643476993,-4.841350069790339,-6.091197464138695,-6.464971719875795,-0.26922028853262026,-5.1896465824445395,-0.17238457567150434,-3.601046395835355
2.397555285711008,-4.8927992817041375,-7.720155369727161,-6.144602430781295,-0.5028222751734732,-2.7019067875741256,-0.5145902843220397,-3.414174008676311
2.0000313740881634,-4.795213200384769,-5.550969472188521,-6.759995437566238,-0.147132675704519,-3.2069450979647867,0.0,-2.301795255739035
2.370593835183313,-4.8522153653056135,-7.487002027435828,-6.543099478043145,-0.18831353699131884,-1.3534293028311453,-0.15876233077970917,-2.9304976471618236
2.4567695349385916,-4.868363085393479,-7.8181654649404075,-6.44063292319102,-0.2658048837161197,-2.7941388772242197,-0.14551647000841347,-2.35442058386656
2.4084543102262894,-4.875456267409968,-7.5890724666656935,-6.4699040938775,-0.35283436464502926,-2.7992333861049388,-0.1472438776504386,-5.777849594537204
2.483028362681303,-4.851690507602802,-4.798695234027401,-6.377889351111769,-0.3944547465181178,-1.3164902315425036,-0.22462009101541933,-3.770701696507995
2.4122137351619988,-4.859549404484079,-6.979242246967857,-6.311463540447938,-0.3788083087047521,-3.572989235056217,-0.5225875475201902,-3.1493302117659647
2.039574559336429,-4.821393566522588,-6.480436792734527,-6.557976551266499,-0.26776037754249216,-2.974371962210131,-0.04173491926760462,-2.496530494981428
2.567574486102341,-4.878275557236518,-5.694973023342696,-6.1893716788186515,-0.39372707080522046,-2.9974237601103177,-0.5497945248607777,-4.413000538185122
2.4868394801215215,-4.822218866704726,-7.7666348295872485,-4.462668216501044,-1.315464615917953,0.0,-1.882405525634214,0.0
2.000830691202124,-4.816623823299358,-7.541274717973679,-6.51339839663263,-0.2796828763067272,-4.465787510902663,-0.16303297964500593,-5.3514785391942326
2.0172117175153965,-4.8178082978278605,-6.370882000836833,-6.392870539796179,-0.3367358686459657,-4.496138421106025,-0.08787415853466682,-4.551279482062228
2.022520476028202,-4.827430396955017,-7.680453006932549,-6.609232832842373,-0.27916700702598707,-2.6617043670457194,-0.09349474177834786,-2.8414152668021098
2.1814573993615527,-4.821424808766377,-6.177305298844727,-6.520180887244844,-0.22193761949835972,-3.3314401191659946,0.0,-1.884986872433252
2.4680864718569975,-4.852891530861278,-6.838615529095315,-6.336031741800179,-0.33209698418519323,-2.4258477894702892,-0.4435269810735285,-1.3784720919730225
2.424210219826462,-4.842778895980008,-4.124974716342246,-6.27534362623053,-0.17018623237154412,-5.687571405753535,-0.7258690116042149,-4.3182492716265966
2.4531131882847443,-4.882354264830998,-5.577746556929312,-6.3293205983596605,-0.35269997471868464,-4.227739742702656,-0.5401802911092674,-1.5920397553539343
2.433749147367533,-4.856792635267504,-4.426475692839479,-6.312828002628777,-0.24812698416628173,-2.902503637244998,-0.4650198707182475,-3.519973336290338
4.021583112305888,-5.043547866329573,-6.7193886470184365,-4.4698992510818885,-2.311439180445352,-5.740203812265259,-2.114616608073007,-0.0010956875465721269
2.060943099997568,-4.824276816058201,-4.361305974237306,-6.78760433868635,-0.12118473108411754,-1.1504354318554069,-0.0004080040659749646,-4.7974050372638315
2.3531175615139395,-4.832172929954646,-5.278294842894611,-6.309273379423398,-0.1671147275115206,-1.6603157526078467,-0.6123385152597924,-4.043190451738529
3.17454979665948,-4.959599617617527,-4.998683852060514,-4.46321439961087,-1.9004869787627037,-3.3970047787702558,-1.8760344522625891,-0.1299724677482056
2.0020978515544554,-4.840598930965307,-6.919697998075198,-6.726758669882069,-0.23129907508147696,-3.339664110986451,-0.17086605218021766,-4.768086666291225
2.60556762764167,-4.909901305281729,-4.788262180679465,-6.320546181314486,-0.23646807361521088,-5.666335999977763,-0.5141259357992083,-3.7257310743550214
2.0574101886490728,-4.835370537052613,-7.211685227301291,-6.751542351955504,-0.1489188212539903,-2.486718380168949,0.0,-4.805845389074969
2.170183029346746,-4.800483120776618,-6.01314383752395,-6.574794988669915,-0.10671745966891183,-3.7740753346377045,-0.0449229303770667,-5.5095360217043945
2.627547931176895,-4.901934143103715,-7.161328692745237,-6.317985332059461,-0.3744207203755855,-3.9387727108640527,-0.236640307038401,-2.873472302325779
2.0954110171507967,-4.847307257392547,-6.272839472250082,-6.7126411711938,-0.22690437786810058,-4.471210809300036,-0.07490380836289035,-2.4246389239741233
2.480118794120471,-4.888756792677336,-5.460175923188797,-6.329852397444493,-0.3773706065461408,-2.521839440370931,-0.25554918951983874,-5.359852194301122
2.988107421701247,-4.922893728347331,-6.5257614934453105,-6.25638023633054,-0.5563548167551,-2.58086850170841,-0.37769481979943414,-3.5548159239436425
2.0133032573033787,-4.810874316918793,-7.3485351212200865,-6.564729354823984,-0.2388261695465022,-5.08383359195703,-0.07821212586700846,-5.43271478924898
2.1072216819697513,-4.836110213041818,-5.8972172132249945,-6.745059125893778,-0.1125215733380451,-3.7352865618062294,-0.07301829951487189,-2.1086995974256606
2.3781753455590797,-4.848381000525515,-4.349022092227923,-6.407052495291143,-0.21021293140050176,-4.2084178890405255,-0.46009430698611276,-3.8751319782973566
2.2806622551891813,-4.852205243606656,-5.013504154181684,-6.379962440128806,-0.38553200775618107,-3.68744586658743,-0.19167641502922275,-2.353014139095262
2.1680987936267937,-4.859638707051837,-7.725223037237932,-6.37810398657683,-0.3592864155530388,-3.649099998420389,-0.38416446776109375,-1.5699822361773812
2.1701137691975445,-4.830823734834404,-4.84119600762379,-6.399361794555262,-0.2590133240018968,-2.8129421640461545,-0.1985317021182733,-5.981254055618583
2.6043002228671415,-4.900402960031018,-7.429329972228684,-6.406599489106491,-0.2761426370664979,-4.160541541966884,-0.33137425560833655,-3.1620695409830386
2.7512784209101717,-4.907226637150822,-7.407602612278379,-6.296223329010441,-0.22141971283000186,-2.5443596127300965,-0.6225490837270519,-4.312626380406497
2.4109405595080338,-4.832935022285961,-6.400882353013666,-6.222364292571749,-0.09139039372713577,-3.5077537640511816,-0.8734100626013416,-5.200400625621989
2.5341923395541626,-4.883904054258651,-4.580833112941488,-6.356090525816235,-0.3201624850645991,-1.9285528051927945,-0.39944282785749374,-3.0027340888929372
2.4508134063391087,-4.855791594252287,-7.5745794175985575,-6.563489361664248,-0.25047238151258105,-3.3855372259380383,0.0,-3.559000396813547
2.011625792055902,-4.82547941070351,-5.809649444885349,-6.643864834753575,-0.16511426816710417,-3.5336816785242213,0.0,-2.83008390102979
2.1340928320120085,-4.822648681582461,-6.36779052987309,-6.614294719429752,-0.12243192401949887,-5.433237435358725,-0.08607293546903438,-5.346144341403592
2.188259557854756,-4.833059607688077,-5.199428293592563,-6.554095471123279,-0.24373210460548878,-2.8125896268994937,0.0,-3.3809946381307387
2.1422467473930524,-4.825771580055954,-5.044803668706998,-6.716092281583001,-0.18422030026914907,-2.991933318326775,-0.07001215901322981,-3.629118446609025
2.1607387468330455,-4.829508124467276,-6.325585743015291,-6.354357317610073,-0.24376282701247529,-1.8165285139095593,-0.11216833726586485,-5.309501614142173
2.0039801086841305,-4.792276071123907,-6.085851577229069,-6.626011847375032,-0.07818535469483612,-4.023390596624122,-0.011849507971007256,-2.954201693573671
2.3700382764263974,-4.854515086710245,-6.229339569380971,-6.430011988739102,-0.17682162789931777,-4.3956351852534885,-0.3947844349500036,-3.3795077151580273
2.38269544034941,-4.892627328892153,-5.34656044356217,-6.450299264578767,-0.3917754352257811,-5.17448812034192,-0.04749512230679225,-4.305916039732065
2.0147600810502677,-4.847563391648173,-7.883746645621327,-6.579024679046197,-0.28580912079653764,-5.6503337176054735,-0.005613689304207803,-5.3060905157164076
2.0122260532231664,-4.83468311830036,-5.94969026097891,-6.847263373008662,-0.18723879723909773,-2.51281378956973,-0.00824392203764885,-4.311840954349631
2.526593628180971,-4.8867457279833335,-6.5268974140938765,-6.224976555650111,-0.33982688319570753,-4.6395404268506875,-0.4739516140252772,-2.7444047481593117
2.5976529625350033,-4.899265825516665,-6.840367336630223,-6.346474896878446,-0.30600326464100597,-1.934053823831445,-0.3534604062280149,-2.785537765970558
2.725212940175312,-4.904843164837245,-6.9957123276281274,-6.126386076340831,-0.33814136802403416,-2.9762560808410665,-0.7912655323633331,-3.7432254593979026
2.5403622884097614,-4.882451775588544,-5.683039839796458,-6.347700157035463,-0.34902111158600296,-5.506799242762871,-0.3359975459845384,-4.3630054773314155
4.5,-5.088372562827979,-8.0,-4.51209473523778,-2.4347583448150623,0.0,-2.3878257714342235,0.0
2.178474601107866,-4.830127812888237,-5.4953659310339065,-6.5680408610270815,-0.20629638941408449,-3.713154452353117,0.0,-4.930691189527785
2.3277243933479412,-4.861957325432141,-7.393260539048499,-6.536333127886583,-0.27717599670341714,-5.918320463383191,-0.18669398604863602,-4.320824702379017
2.4913167849004134,-4.878289461282282,-6.240500254381752,-6.3206180466098765,-0.36748706610282517,-4.128400694906938,-0.2788908640539484,-3.8191232467222203
2.2560567679531145,-4.819867879467824,-5.502109943327736,-6.3686973865280345,-0.10809434254286293,-5.08325391471874,-0.49027059555762137,-5.034505636194006
2.004726826189338,-4.816237951197129,-6.738633412013154,-6.7960804439363,-0.10794720335693198,-1.7396294357705393,-0.03196260328979239,-1.8371169401117782
3.2346687335134914,-4.943386678831454,-4.796775101133258,-4.476800055095848,-1.6490911927306933,-0.10102767998201133,-2.2089497819578403,0.0
3.7926049046818813,-5.013166219575596,-5.2728350023646975,-4.51681358161508,-2.2040799816140604,-0.28951465242289554,-1.7932052957410987,0.0
2.4617517350900022,-4.887805337830822,-4.151911940637549,-6.367334530422722,-0.4301223407745932,-2.8177987501944335,-0.2870810926051209,-4.159183807765487
3.9398860734021075,-5.03268004934685,-5.168085992401322,-4.466226106971415,-1.9151765447902065,-0.06778079189284256,-3.060899207896267,0.0
2.9267494613491642,-4.896482852305275,-5.346028825103059,-4.502874358755318,-1.3240869074593384,-0.1867225797751372,-2.233946064629273,0.0
3.1365146263139563,-4.9150038442345885,-5.991782284833414,-4.485972263205509,-1.417954566710198,-2.1430273539224003,-1.9728740614733773,-0.0023216494485360784
2.053766582775353,-4.804100306686157,-7.868696382319871,-6.547879258161045,-0.12165273592212245,-5.81965410257266,-0.42169367994610996,-4.5428170452896435
2.543107994217506,-4.846224509631135,-6.888865712648808,-6.199630075016321,-0.16141007180881217,-4.051100928260247,-0.6447813463304022,-3.644683199825799
2.1188722374061184,-4.811207149212525,-4.503225158664611,-6.534023827858975,-0.17290899110762004,-2.3961361756455677,-0.05556853498842962,-3.5332511027812985
2.0886046206216955,-4.81830343785937,-7.474397335565735,-6.551246333816136,-0.004783022484707189,-5.07597503578638,-0.23393468111559557,-2.6780730425822545
2.240736989936283,-4.845985201723298,-5.372158574791165,-6.340536505556881,-0.30078696784041975,-5.910641961038039,-0.36173690908992556,-4.485594193708474
2.009072352179764,-4.785457872144642,-5.61588485718891,-6.4436582265661135,-0.2388922897641761,-4.357959679348244,-0.2518474274869913,-4.039701931128752
2.2397779085974614,-4.842455190254012,-5.930479876916918,-6.5434690650567955,-0.15506688082359787,-5.05095841308038,-0.3066776635852153,-1.0170492167667349
2.020148068238963,-4.848129803793873,-6.740585411290487,-6.636901451415939,-0.10365430731012894,-0.08609495863747543,-0.16627389645838828,-4.487605132622985
2.1775859417018473,-4.870667952664328,-7.57769214037516,-6.553536639500563,-0.3965347561883568,-1.317728783112938,-0.15941483502820247,-3.959830363657377
2.3990343406259695,-4.815485674844201,-7.968923799999371,-6.3768168318406495,-0.07970420049587898,-3.3058941653351863,-0.4444236966814434,-1.9893118602928854
2.1154606348284055,-4.828084492723871,-5.669596942563593,-6.343842528084838,-0.27179551003544283,-3.785690193570501,-0.24974119170317965,-3.623193169213822
3.4354274899746393,-4.979954903564778,-4.25287239430197,-4.507229088514915,-1.7181128167779838,-0.5156739295129645,-2.1483243832466488,-6.716489193158064e-09
2.1193990686072763,-4.8281152705879915,-4.0287802816791505,-6.522612179228535,-0.19436090387308452,-3.1335730635556343,-0.400362370433527,-5.246050923980872
2.0914721941671925,-4.8398396478690895,-7.763531708051703,-6.495624797160815,-0.3140849699202386,-3.9501937344279034,-0.04310574217650309,-2.200398631716459
2.327856496784332,-4.863130204736135,-7.233551517064133,-6.472031718031439,-0.31779778859436625,-2.995883769994936,-0.3824608522414955,-1.8716701352115832
3.5461386948006153,-4.997931808362403,-4.214052356725535,-4.4454430005287255,-1.7274425513549583,-3.6362668699513234,-2.4079493585294083,-3.328066979613967e-09
2.222672650401472,-4.83148686411607,-4.657587683737004,-6.371052626568039,-0.3922888475580223,-4.84741254041766,-0.1272766371077434,-1.5552771692988092
2.983280810122451,-4.931565517936921,-5.620216261482679,-4.453004375265268,-1.363783051408444,-0.6758211360938522,-2.0758547526758866,0.0
2.0552001571331027,-4.826114511361517,-6.44169035556168,-6.619355011058337,-0.282033342783714,-3.7142983633893087,-0.02956786459082277,-4.600839680322717
3.7157772300154917,-5.0013345083058285,-5.454424566814401,-4.5210184994139855,-1.8259723049710623,-4.881491004662796,-2.2296168681257362,0.0
2.1576972693645304,-4.842250023818964,-4.991456465480524,-6.640480620049496,-0.199705849682972,-2.704346440178037,-0.0034609824948533614,-2.32378089773688
2.2788911039623008,-4.86468840356293,-5.7857540499965845,-6.523289674678334,-0.2484085101424903,-3.7191943672583934,-0.019430110601037175,-5.23342178278278
2.055915394888558,-4.8388335177633,-6.002688989508742,-6.683706968811151,-0.2750406938288422,-3.2435543979202652,-0.0035956519822129144,-5.497928920375312
2.510348145086146,-4.86834820212651,-4.708100376613429,-6.395205852655868,-0.42411959339217215,-3.6573269548802703,-0.1290716278666613,-2.493288746109914
2.070771767499315,-4.7865557001179715,-6.014872593148773,-6.3080037535045586,-0.3274472624317576,-5.246456352489616,-0.26741762009867676,-1.3648087301796703
3.896207225436713,-5.02898229384904,-6.8066925179807125,-4.460032332433591,-2.172844157246256,-4.01932582715195,-2.4527980496226895,0.0
2.8377464887786386,-4.9117031408648595,-4.7617999400301905,-4.505135153679689,-1.6047074867926774,-0.07835975421521654,-1.572203487444206,0.0
2.252542708428909,-4.874596646406077,-4.648856360501253,-6.441388528411781,-0.38451012425639874,-1.07512592999536,-0.0005063296243913597,-3.303379917098215
2.481334838568634,-4.863891328750329,-5.986117308817883,-6.361158450432729,-0.32230038838482816,-3.0254363863980354,-0.34704166343862675,-1.567712151452518
2.6115202356486535,-4.8668133888916,-6.531074587161976,-6.282486506887442,-0.41215668790169957,-2.537033268833488,-0.014032778489959874,-4.515875076935285
3.399219560996421,-4.982881601647521,-5.40772378853239,-4.456241232519987,-2.0526313011031903,-0.7108515858409507,-1.8905487241113028,0.0
2.0890105128454888,-4.846859772711804,-5.01341875241332,-6.6112908986314185,-0.3575082956339064,-2.9872295308540426,-0.12753534596651672,-2.5753506572533182
2.0630990289725677,-4.820076282456444,-6.248401770453545,-6.321109205536435,-0.0963108310747319,-1.5632556306950744,-0.5841090474724479,-5.007105653307277
2.292974162061431,-4.836094465452488,-4.931698158322425,-6.12891930942942,-0.15483059239772642,-4.201390406816742,-0.943492819532677,-4.696597658948278
2.1474375913358053,-4.841843567706897,-4.870109508861002,-6.313979008607142,-0.3358251832980925,-3.3892231836006133,-0.38112048046794733,-5.064596500867005
2.031112834776711,-4.835396735283755,-6.950716119665408,-6.54814523003183,-0.3453198352729565,-5.265539567217542,-0.037889626507289,-4.4500628480279305
2.5804065753010867,-4.863200907531673,-6.029536741848844,-6.391850197631736,-0.23444338669190143,-5.512030564569781,-0.2481370125815089,-1.775621503128416
2.4872061989149796,-4.893331581361587,-5.771240438797268,-6.937418925088863,-0.24835426850292505,-4.262702768810434,0.0,-3.214095776863224
2.0442091199509242,-4.85302207896931,-6.09381490667352,-6.798830593417075,-0.17448548475007317,-2.1372947431909433,0.0,-4.728577068023384
