V1_0,beta1,beta2,beta3,gamma12,gamma21,gamma23,gamma32
1.9692695688883888,-4.803476783712127,-5.945700501538548,-6.550583210943367,-0.31977382398441584,-2.0377414684862467,-0.24937964024919088,-3.29941177410526
1.893056927491895,-4.814170732500374,-4.450574785320962,-6.916346546508281,-0.3397129796924223,-1.1899845442232335,0.1542350256154954,-3.1783873354427086
1.868245476056063,-4.804863477430899,-4.879471179843713,-6.777276644140876,-0.31820480616375485,-2.113137169781151,-0.004796848682878997,-2.1749881927712553
2.3145376490983534,-4.88457237731686,-4.450045777881288,-6.510984701343126,-0.5747279995827795,-1.4445450797164354,-0.22027176655938252,-2.6613597722880358
4.485366610494056,-5.094889575923229,-6.270976332183591,-4.2142428166399215,-2.7567020444306376,0.8849291338791268,-2.2082652559505656,0.9986574599300495
2.990293557250146,-4.602555253398811,-6.627943742466375,-4.20558917571338,-2.1156418061821465,0.9428643313905152,-1.7018317603606332,0.9968677393598799
2.344965569979415,-4.859572096284926,-4.34768601477719,-6.825952116989914,-0.36908520832596525,-2.5794338517968756,0.08106000593439004,-2.6781465278549783
2.295331203033732,-4.85312984017703,-6.155468547340364,-6.7167177627032455,-0.3811792966730252,-3.0818905478100915,-0.007736930270082709,-3.302963046449917
4.033688677609929,-5.028486166919762,-5.222182765312397,-4.217934404628585,-2.311732504598016,0.9834555293021038,-2.1282919862961345,0.9956936130937563
2.4265920132965024,-4.857436042318022,-6.550755236247172,-6.426619169147153,-0.42818277872643185,-2.028564881813378,-0.35958332399060855,-1.087843865857875
1.8882885939132876,-4.803164379616784,-6.805275644513728,-6.902292992110201,-0.2708781055407564,-2.638851610291422,0.09255040395116323,-2.0298253358153238
2.622494072819569,-4.888536163945666,-4.934376559595262,-6.412506812309258,-0.4816156371206835,-2.1576896284567817,-0.34262903222842034,-1.011417315209229
1.8755171568776166,-4.7917874163877405,-5.314808861095923,-6.951171773153805,-0.24751563323186865,-1.405892182482191,0.18098768053160486,-1.9180797543244485
1.8152189544380095,-4.787829549489625,-4.065861372310192,-6.719844372335674,-0.27761216196861865,-1.8172730667647845,-0.06781958998817268,-1.3034196270549363
1.7699926791107545,-4.776531054908418,-4.335902808306489,-6.71510839314607,-0.2636538173815841,-3.823784251048622,-0.02204545820421692,-1.0595078094460897
1.8285048499446541,-4.800434845827815,-5.641995795815737,-6.87819866046121,-0.28802243776245257,-1.619399777340072,0.06746833126001499,-1.9510260714475516
2.1146000499313717,-4.815251051352953,-5.563207183328375,-6.944572969956003,-0.2338454583280331,-3.0221180880624376,0.15060157067394161,-0.9008116218607488
2.329599543576934,-4.8358587466094205,-6.494868250353172,-6.455176246372186,-0.3389278361653211,-2.992395323449691,-0.3673104110798713,-1.4071383977480165
