Time,X3
0.00,0.97
2.50,1.48
2.50,1.30
2.50,1.67
2.50,1.53
2.50,1.52
5.00,2.47
7.50,4.75
7.50,3.14
7.50,2.98
10.00,3.32
10.00,3.58
10.00,3.23
10.00,3.68
10.00,3.17
10.00,3.72
10.00,2.57
10.00,4.15
10.00,3.99
10.00,1.34
10.00,4.65
15.00,2.24
17.50,1.49
17.50,1.48
17.50,1.17
17.50,1.48
17.50,1.80
17.50,1.16
17.50,1.24
17.50,1.50
20.00,1.46
25.00,2.24
25.00,1.88
25.00,2.01
25.00,2.34
25.00,2.51
25.00,2.26
27.50,3.24
27.50,2.37
27.50,2.14
30.00,3.30
30.00,2.39
30.00,2.17
30.00,2.26
30.00,3.32
30.00,2.00
32.50,2.70
32.50,2.41
32.50,2.40
32.50,2.49
32.50,2.52
35.00,1.84
37.50,1.88
37.50,1.90
37.50,1.37
40.00,1.42
45.00,1.13
47.50,1.44
47.50,1.22
47.50,1.02
50.00,1.95
50.00,1.20
50.00,0.70
50.00,1.12
50.00,0.91
70.00,1.10
70.00,1.28
70.00,0.94
70.00,1.28
70.00,0.52
